STATE	DMEPOS RURAL ZIP CODE	YEAR/QTR
PA	15327	202501
PA	15334	202501
PA	15337	202501
PA	15338	202501
PA	15341	202501
PA	15344	202501
PA	15346	202501
PA	15349	202501
PA	15351	202501
PA	15352	202501
PA	15353	202501
PA	15357	202501
PA	15359	202501
PA	15362	202501
PA	15364	202501
PA	15370	202501
PA	15380	202501
PA	15411	202501
PA	15424	202501
PA	15485	202501
PA	15501	202501
PA	15502	202501
PA	15510	202501
PA	15520	202501
PA	15521	202501
PA	15522	202501
PA	15530	202501
PA	15531	202501
PA	15532	202501
PA	15533	202501
PA	15534	202501
PA	15535	202501
PA	15536	202501
PA	15537	202501
PA	15538	202501
PA	15539	202501
PA	15540	202501
PA	15541	202501
PA	15542	202501
PA	15544	202501
PA	15545	202501
PA	15546	202501
PA	15547	202501
PA	15548	202501
PA	15549	202501
PA	15550	202501
PA	15551	202501
PA	15552	202501
PA	15553	202501
PA	15554	202501
PA	15555	202501
PA	15557	202501
PA	15558	202501
PA	15559	202501
PA	15560	202501
PA	15561	202501
PA	15562	202501
PA	15563	202501
PA	15564	202501
PA	15565	202501
PA	15681	202501
PA	15701	202501
PA	15705	202501
PA	15710	202501
PA	15711	202501
PA	15712	202501
PA	15713	202501
PA	15715	202501
PA	15716	202501
PA	15717	202501
PA	15720	202501
PA	15721	202501
PA	15723	202501
PA	15724	202501
PA	15725	202501
PA	15727	202501
PA	15728	202501
PA	15729	202501
PA	15730	202501
PA	15731	202501
PA	15732	202501
PA	15733	202501
PA	15734	202501
PA	15739	202501
PA	15741	202501
PA	15742	202501
PA	15744	202501
PA	15745	202501
PA	15746	202501
PA	15747	202501
PA	15748	202501
PA	15750	202501
PA	15752	202501
PA	15753	202501
PA	15754	202501
PA	15756	202501
PA	15757	202501
PA	15758	202501
PA	15759	202501
PA	15761	202501
PA	15763	202501
PA	15764	202501
